#SampleID	Dataset	FullName	Acronyme	time	Site
F1_S243_joined.fastq.gzjoin	testing	Forest	F	1	Mare
F2_S245_joined.fastq.gzjoin	testing	Forest	F	1	Mare
F3_S247_joined.fastq.gzjoin	testing	Forest	F	1	Mare
F4_S249_joined.fastq.gzjoin	testing	Forest	F	1	Mare
F5_S251_joined.fastq.gzjoin	testing	Forest	F	1	Mare
JC1_S253_joined.fastq.gzjoin	testing	Short_fallow	Sf	2	Mare
JC2_S255_joined.fastq.gzjoin	testing	Short_fallow	Sf	2	Mare
JC3_S273_joined.fastq.gzjoin	testing	Short_fallow	Sf	2	Mare
JC4_S275_joined.fastq.gzjoin	testing	Short_fallow	Sf	2	Mare
JC5_S277_joined.fastq.gzjoin	testing	Short_fallow	Sf	2	Mare
JL1_S279_joined.fastq.gzjoin	testing	Long_fallow	Lf	3	Mare
JL2_S281_joined.fastq.gzjoin	testing	Long_fallow	Lf	3	Mare
JL3_S283_joined.fastq.gzjoin	testing	Long_fallow	Lf	3	Mare
JL4_S285_joined.fastq.gzjoin	testing	Long_fallow	Lf	3	Mare
JL5_S287_joined.fastq.gzjoin	testing	Long_fallow	Lf	3	Mare
