#SampleID	Dataset	FullName	Acronyme	time	Site
F1	testing	Forest	F	1	Mare
F2	testing	Forest	F	1	Mare
F3	testing	Forest	F	1	Mare
F4	testing	Forest	F	1	Mare
F5	testing	Forest	F	1	Mare
SF1	testing	Short_fallow	SF	2	Mare
SF2	testing	Short_fallow	SF	2	Mare
SF3	testing	Short_fallow	SF	2	Mare
SF4	testing	Short_fallow	SF	2	Mare
SF5	testing	Short_fallow	SF	2	Mare
LF1	testing	Long_fallow	LF	3	Mare
LF2	testing	Long_fallow	LF	3	Mare
LF3	testing	Long_fallow	LF	3	Mare
LF4	testing	Long_fallow	LF	3	Mare
LF5	testing	Long_fallow	LF	3	Mare

